Operation,Difficulty,Number of Questions,Score (%),Time Spent (s),Date,Correct Answers
addition,1,5,100,59.728763,2024-08-12 10:48:33.729190,5
addition,1,5,100,97.737199,2024-08-12 10:44:39.737529,5
addition,1,5,100,294.107085,2024-08-12 10:40:31.107451,5
addition,1,5,100,81.175257,2024-08-12 10:33:55.175587,5
addition,1,5,100,272.816562,2024-08-12 10:32:12.825080,5
addition,1,5,100,248.042996,2024-08-12 10:25:17.043349,5
addition,1,5,100,33.654831,2024-08-12 10:19:04.655166,5
addition,1,5,100,52.649585,2024-08-12 10:16:38.650215,5
addition,1,5,100,201.275209,2024-08-12 10:14:51.275758,5
addition,1,5,100,63.955047,2024-08-12 10:10:41.955354,5
addition,3,1,0,33.962943,2024-08-12 10:08:55.963419,0
addition,1,1,100,5.371855,2024-08-12 10:06:44.372237,1
addition,1,5,100,69.584408,2024-08-12 10:01:50.584768,5
addition,1,5,100,66.974045,2024-08-12 09:59:06.995423,5
addition,1,5,100,69.097597,2024-08-11 11:52:01.098062,5
addition,1,10,90,117.895372,2024-08-11 11:49:54.895929,9
addition,1,10,100,74.013304,2024-08-11 11:45:05.035151,10
multiplication,1,5,60,331.532891,2024-08-10 17:07:57.533358,3
addition,1,10,100,120.55987,2024-08-10 17:00:38.560457,10
addition,1,10,100,99.352261,2024-08-10 16:54:53.360607,10
addition,1,1,100,3.554764,2024-08-10 12:32:26.555418,1
